FIPS,State,County,YearsofPotentialLifeLostRate,FairPoor,PhysicallyUnhealthyDays,MentallyUnhealthyDays,LBW,Smokers,Obese,FoodEnvironmentIndex,PhysicallyInactive,WithAccess,ExcessiveDrinking,AlcoholImpaired,ChlamydiaRate,TeenBirthRate,Uninsured,PCPRate,DentistRate,MHPRate,PreventableHosp.Rate,ReceivingHbA1c,Mammography,highschoolGraduationRate,SomeCollege,Unemployed,ChildreninPoverty,IncomeInequalityRatio,SingleParentHouseholds,AssociationRate,ViolentCrimeRate,InjuryDeathRate,AverageDailyPM2.5,PopindrinkingwaterViol,SevereHousingProblems,DriveAlone,LongCommuteDrivesAlone,StateR,filter_$
01000,Alabama, ,9507.9,20.5,4.3,4.3,10.296384813,21.9,33.22677993,6.7,29.371208276,59.298895018,12.2,25.490196078,635,46.652294617,15.766747311,62.75374, , ,71.52,84.234445795,62.710708828,76.947371986,54.732198249,6.4521193093,18.5,5.2077017616,30.12494851,12.505124924,417.96887253,75.198980195,12.8,0,15.193281166,87.787763142,41.9,1,0
01001,Alabama,Autauga,8405.21,22.8,5.1,3.6,9.0850790936,21.7,31.3,7.2,27.9,58.022659315,16.7,31.851851852,508,36.499862524,12.836707378,32.42425, , ,79.74,84.615384615,68.797953964,81,61.784534333,6.7659386456,20.5,4.1715137957,27.879986655,13.149836077,253.64461706,73.323459108,12.92,4.2153622955,12.25,83.164547419,35.2,1,0
01003,Alabama,Baldwin,7456.89,12.7,3.3,3.8,8.6701816052,20.6,25,7.6,25.2,11.476126307,17.9,47.619047619,357.5,44.532661526,15.790291866,75.47565, , ,51.36,81.060299474,66.101694915,74,41.407089151,11.179577465,47,4.4171482752,55.90787717,11.63582997,220.66510634,74.53511183,13.13,31.712359922,14.09087697,82.658509455,31.5,1,0
01005,Alabama,Barbour,8900.51,23.4,4.8,4.3,11.877875366,25.1,38.4,5,32.3,18.250054549,13.5,27.586206897,716.9,72.873799726,17.528430629,44.11603, , ,86.93,85.714285714,61.794019934,69.696107784,44.198174707,7.6406473632,27.2,5.4739856417,39.281641961,8.4555714863,146.8885763,56.105273896,12.62,0,18.561001043,82.333253646,49.7,1,0
01007,Alabama,Bibb,10729.22,17.9,4.7,5.1,12.787436904,25.9,37.3,7.6,33.2,15.180907854,11.2,23.333333333,371.7,50.850850851,15.104645814,26.5522, , ,70.85,82.874617737,61.728395062,80,46.276054043,6.2182259656,23.1,4.5137856924,25.336290784,10.620878878,235.95211046,80.755591447,12.87,3.3649371342,9.5501730104,80.486222261,60.3,1,0
01009,Alabama,Blount,8668.52,24.2,5.9,3.9,7.6907549455,21.3,30.9,8.5,29.8,28.82536192,5.5,40,160.8,47.239216294,18.295760083,29.39854, , ,84.79,86.12244898,59.895833333,85.12195122,35.953648606,13.388055477,43.2,3.9837506136,65.421737306,8.6466295438,219.03434424,91.915284746,12.66,15.497640498,11.834884276,84.135694687,44.6,1,0
01011,Alabama,Bullock,10743.52,23,4.2, ,13.632514818,37.8,43.2,3.8,32.8,47.324199169, ,15.384615385,964.3,84.596967279,17.551900782,38.1898, , ,68.39,77.114427861,51.685393258,72.5,46.169772257,10.850275188,42.1,5.2633408919,49.386194405,11.456940997,283.35085234,85.390755523,12.75,25.133218253,13.430851064,88.706715635,32.1,1,0
01013,Alabama,Butler,10357.46,19.9,3.9,3.5,10.803757829,30.5,38.4,6,37.3,40.512937287,10.9,20,738.7,63.341425734,16.601761428,34.47087, , ,116.92,86.061946903,60.267857143,66,50.796351756,7.5727487971,31.4,5.1004804169,38.759544138,11.818584724,483.03787782,82.915541843,12.82,0,17.799752781,84.446668698,26.5,1,0
01015,Alabama,Calhoun,10538.61,22.7,5.2,5.1,8.6887991331,24.4,31.5,6.4,33.2,34.350431097,11.6,25,684.6,49.328449328,15.292822681,63.9408, , ,84.63,80.55433348,57.006603081,81.824047955,47.079667644,9.2775769152,34.7,5.1644956471,51.648210147,14.749011049,504.5156397,77.888756529,12.89,0,14.512792597,84.377952756,33.2,1,0
01017,Alabama,Chambers,11863.82,38.5,5,4.3,11.880832735,24.1,39.7,5.7,35.3,14.91784986, ,30.303030303,871.9,59.728046766,16.042569965,41.09911, , ,66.66,85.681293303,62.288135593,75.860795455,53.465346535,7.1060672196,29.9,5.2797452625,25.828937453,18.494598403,553.4591195,78.28703298,12.97,0,17.146017699,80.548628429,41.5,1,0
01019,Alabama,Cherokee,10513.33,24.2,6.1,5.2,8.9470480828,24.4,30.3,7.9,29.8,42.655179525,14.9,24.637681159,192.2,51.558517938,16.654691766,26.90135, , ,87.44,91.713747646,61.016949153,74,43.335635359,6.516064257,30.2,5.0950101146,29.923650078,9.2233196265,374.36913052,82.589130653,12.93,0,11.555169418,80.667381853,47.8,1,0
01021,Alabama,Chilton,10911.4,20.5,4.6,4.9,9.8194410092,20.1,37,7.9,31.8,30.305216827,9.3,34.615384615,353.7,58.314675351,19.172699626,18.25692, , ,62.6,88.812785388,66.666666667,76,43.501683502,8.9543269231,30.1,4.5383442266,45.707806932,15.061959424,407.39699165,83.914159941,12.93,0,16.897081413,82.456552372,42,1,0
01023,Alabama,Choctaw,13411.64,31.6,5.6,4.6,11.111111111,19.9,40.2,5.9,34.8,12.515000194, ,27.027027027,550.1,42.292368986,16.122823098,36.67571, , ,68.38,85.411764706,57.013574661,77.5,45.849404662,12.126280577,31.8,5.7307661771,48.07571965,19.071370938,110.93580515,99.723952537,12.82,10.331331761,13.455953533,86.388171791,30.5,1,0
01025,Alabama,Clarke,10709.34,21.8,4.4,3,12.620423892,13.7,35.2,5.1,31,21.109675567,8.8,30.769230769,890.3,41.890909091,17.033631744,47.69286, , ,79.96,76.850094877,59.075907591,73.433255269,40.922190202,9.318001586,30,7.1812352013,34.78823149,17.884821748,464.11856474,75.963103635,13.01,7.8548986004,15.194733955,80.092128981,39.6,1,0
01027,Alabama,Clay,8958.63,28.6,6,5.3,11.385199241,26.2,37.4,7.3,37.6,28.41303767, ,15.384615385,454,52.881570614,18.824829619,37.21623, , ,107.77,82.329317269,58.641975309,77.5,47.055630936,6.9196428571,26,5.0565494984,30.398439677,8.9318943059,313.03017993,66.286241282,12.92,1.4484356895,14.652956298,79.25745163,48.2,1,0
01029,Alabama,Cleburne,10438.28,20,5.9,5.2,8.764940239,18.9,30.4,8.1,34.1,18.811564027, ,29.787234043,384.3,57.388809182,15.968672712,20.22654, , ,81.84,85.947712418,46.428571429,89,59.410293337,6.1911930749,22.5,5.2405267401,36.282889224,8.764832794,224.32785348,81.955099354,12.96,0,14.402173913,83.996335407,25.2,1,0
01031,Alabama,Coffee,8015.02,18.4,3.5,3.6,8.5964163823,17.7,28.5,7.1,29.7,52.079811862,9.8,13.725490196,640,44.688836519,16.01539853,44.8763, , ,75.07,87.421383648,64.909090909,85,56.350420811,7.5647751392,25.3,5.2805722461,33.065461242,15.804261297,363.90150134,60.076417203,12.61,2.6936094366,12.074468085,87.620049392,27.5,1,0
01033,Alabama,Colbert,10657.09,25.9,4.4,4.8,9.9659477866,29.6,33.9,7.2,31.9,2.8197762322,7.4,24.242424242,683.2,52.288659794,14.310139254,55.10047, , ,78.75,88.786373314,66.956521739,78.027977044,40.590685346,11.641929499,46.3,4.7650332728,47.937458417,17.999485729,372.90432044,70.881613016,12.71,0,14.023297491,90.449587656,36.7,1,0
01035,Alabama,Conecuh,13362.3,18.3,4.4,5.2,13.703703704,22.9,39.1,4.6,35.4,17.635843661, ,54.545454545,808.9,54.87804878,18.209669698,38.51783, , ,154.16,71.768707483,60.81871345,82.5,29.420731707,8.178175819,31.1,5.7153635117,41.586327783,11.555350127,612.84375081,101.55207954,12.86,0,20.59447983,83.080927591,42.5,1,0
01037,Alabama,Coosa,12159.87,25.8,4,4.6,12.103746398,30,37.2,6.8,31.9,47.787634053, ,27.5,474.2,49.237472767,16.70775437, , , ,72.58,84.31372549,64.285714286,77.5,49.151749152,7.5235678028,34,5.0046596287,39.366089313,10.942914463,290.91692706,99.784394433,12.93,0,15.862808146,81.261382799,24.7,1,0
01039,Alabama,Covington,9667.05,25,4.2,5.2,9.4177537385,28.7,32.3,7.3,37.5,30.396950956,10.9,27.777777778,503.2,68.579766537,17.286745407,47.42458, , ,114.84,82.112068966,64.571428571,80.516519824,43.403614458,7.2113896626,29,4.5561302682,45.033112583,12.383085233,242.1817416,70.910351324,12.71,0,16.383989145,80.234933606,45.8,1,0
01041,Alabama,Crenshaw,9103.29,20.3,4,3.8,9.0121317158,16.6,37.1,5.9,32.3,33.511180758, ,23.655913978,468.7,53.571428571,16.430280246,14.20152, , ,87.95,78.947368421,60.64516129,92.5,53.549491491,6.4049208219,25.6,5.6590763538,27.054664128,11.36121565,441.5302858,81.608109269,12.75,0,11.681415929,80.604726528,34.6,1,0
01043,Alabama,Cullman,8966.62,21.4,3.9,4.4,9.1620429649,22,34.4,7.8,30.8,20.680185469,10.9,37.777777778,317,56.054557552,18.059690215,55.94232, , ,57.04,89.333333333,66.142684401,82.982125124,62.789140945,7.2813334005,28,4.8325755714,31.644025055,12.680258578,201.19144998,74.625751854,12.53,0,13.996492906,83.707032336,24.4,1,0
01045,Alabama,Dale,8570.52,21.2,4.9,3.9,8.55377486,21.2,34.4,6.4,30.5,45.19853948,14.4,51.724137931,547.1,48.430579626,14.689039191,17.84157, , ,63.98,83.350151362,66.428571429,76.662835249,43.39298352,13.730641593,59.6,5.0521367521,65.295852854,12.290857188,395.76432401,61.086623227,12.52,0,11.385248008,80.978970268,21.6,1,0
01047,Alabama,Dallas,12349.09,25.2,3.9,3.6,12.774846086,20.6,41.7,3.6,33.2,40.856994192,12,20.689655172,1525.8,71.677740864,14.520714305,76.98768, , ,69.59,76.683291771,62.593516209,72.31443299,39.002341665,8.4756054004,30.4,6.5374860505,33.728525166,13.531168346,781.8388057,80.719134104,12.93,1.3103883802,23.529411765,84.645640615,26.5,1,0
01049,Alabama,DeKalb,9412.58,20.4,4.7,4.9,8.5830447222,18,32.1,7.8,29.4,38.054045875,10.1,42.352941176,298.3,59.108527132,21.69327961,40.7991, , ,87.22,89.646672145,56.035767511,83.780368098,56.468714448,6.8396024944,20.5,4.3850811486,30.224701024,9.4259988745,243.42882873,87.972570604,12.93,6.5299275482,14.372971941,85.741489424,45.1,1,0
01051,Alabama,Elmore,8198.17,16.7,4.4,4.4,8.9541648929,21.4,30.1,7.4,30.5,27.090999243,10.3,40.983606557,548.2,42.065211647,13.201774042,29.76597, , ,70.3,83.799830365,66.43741403,74.462087422,45.796134602,8.9211330186,37.6,4.0432118802,50.629002745,10.046013221,178.7265317,71.135955442,12.91,.4972297201,12.390956026,81.984271983,28,1,0
01053,Alabama,Escambia,11112.08,28.1,5.2,4.7,10.932475884,20.9,38.3,6.1,37.4,28.578952408,7.7,35,552.7,68.429598701,19.617307361,47.3759, , ,117.39,81.905910736,59.911894273,77.04631829,55.017446988,7.2133386194,31,5.4753778645,35.888663626,15.002368795,564.87355523,103.36540984,12.92,2.5947667141,14.285714286,86.63434903,26.9,1,0
01055,Alabama,Etowah,11056.55,22.7,5.2,5,8.5222016651,26,33.8,6.8,32.2,17.214778725,10.7,21.428571429,705,53.748053369,16.716985091,75.6763, , ,88.46,84.137931034,58.45410628,76.52578125,38.884504078,7.9621294428,27.5,4.6701589815,33.448550917,15.805808874,497.87069047,73.815595222,12.79,0,14.480077745,84.652766891,32.2,1,0
01057,Alabama,Fayette,11626.95,31.8,5.6,5.2,9.9616858238,14.1,36.3,7.6,30.6,22.467196568, ,40,494.6,51.849921834,15.438341215,41.21769, , ,99.11,80.952380952,61.30952381,77.5,45.223552407,8.1593783331,31.4,5.1972249017,32.386363636,11.776482365,173.67964001,113.61396756,12.47,0,10.359116022,81.276037649,32.3,1,0
01059,Alabama,Franklin,11760.89,24,5,4.4,8.7795765878,24.5,33.5,7.5,33.4,20.059723778, ,25.925925926,358.9,62.482983937,20.063670412,47.22773, , ,114.82,85.294117647,54.922279793,85.950363196,50.472589792,6.9366810226,35.8,4.7174515235,43.251014885,10.07524952,380.01600067,114.26984097,12.27,0,15.03030303,81.84370613,39.7,1,0
01061,Alabama,Geneva,9085.88,28.3,4.3,3.4,9.0538705297,32.5,34.5,7.7,31.3,1.6030956329,12.6,20,453,53.817692566,19.034803631,22.27916, , ,87.5,86.798179059,61.963190184,82.951219512,37.649619151,11.362148003,48.2,4.8376838479,49.456521739,8.9116631391,320.10719869,82.959021233,12.52,31.362815884,14.370982553,72.898997687,39.5,1,0
01063,Alabama,Greene,11968.42,27.1,5.1,5.3,15.985997666,18.1,48.1,2.9,32.9,17.899746193, ,44,1295.6,51.282051282,15.981549315,33.79901, , ,102.21,86.979166667,60,62.5,40.912957187,9.8887515451,38.7,4.6922584773,54.916559692,9.01306895,1113.408621,72.714452548,12.87,24.352589641,18.628912072,82.794676806,43.1,1,0
01065,Alabama,Hale,10097.78,21.1,3.9,4.1,14.144968332, ,36.2,6.1,34.6,30.412669056, ,38.461538462,1429.7,43.577981651,16.083418911,12.99714, , ,72.06,77.14987715,54.146341463,71,56.427293637,7.2977185773,29.2,5.3960538572,32.553862323,5.1988562516,169.63799891,78.626322064,12.92,23.162939297,18.003412969,88.096362778,42.5,1,0
01067,Alabama,Henry,10462.14,18.4,4,3.5,8.5889570552,17,34.1,7.6,29.8,31.639536372, ,32.352941176,566.9,46.801872075,16.714822306,28.92347, , ,53.11,86.1575179,53.278688525,70,53.66532043,7.0051300195,28.9,5.5398153683,40.665366805,17.354081101,318.19663018,83.359383141,12.46,0,12.822402358,87.666506729,24.3,1,0
01069,Alabama,Houston,8128.29,20.7,4.5,4.3,8.7833578483,18.4,32.9,6.7,30.1,26.067597272,13.3,25.675675676,783.4,54.835754482,16.37371521,89.94023, , ,60.65,86.499727817,63.148148148,87,46.436018225,7.0708643032,25,5.01378579,22.947475778,13.152550241,442.1942038,64.496914207,12.37,3.4322889404,12.883116883,87.228691197,36,1,0
01071,Alabama,Jackson,11272.54,28,5.8,5.3,8.5529468136,22.1,29,7.7,32.9,73.998961222,8.4,16.129032258,216.9,53.914835165,17.147259014,58.46961, , ,102.39,82.519462137,52.25464191,82.973377704,65.789162028,6.7718730977,27.6,4.6430663758,42.233199012,9.2419698599,273.54559623,89.298109356,13.16,.1645613569,11.881645862,83.98711448,31.1,1,0
01073,Alabama,Jefferson,10234.5,17.8,3.7,3.9,11.417989418,21.2,32.9,6,27.7,2.1834660807,14.5,30.769230769,834.7,47.18605193,14.526237089,99.99864, , ,52.38,84.017467249,65.06122449,74.375724252,46.055753262,7.5717522659,30.8,5.3516083916,37.697797083,15.030098074,717.39617901,78.059578594,12.71,0,17.658397425,85.144282152,31,1,0
01075,Alabama,Lamar,8782.45,28.5,7.1,6,10.070671378,26.1,32.8,7.6,35.5,58.164795219, ,30.666666667,350.7,56.420233463,16.873514655,7.01311, , ,104.29,79.778393352,56.279069767,67.5,58.010218046,6.6785416338,29.3,4.3494237288,30.601397185,11.220983239,49.735336957,88.12756465,12.4,0,11.637572735,86.136155756,30.7,1,0
01077,Alabama,Lauderdale,9140.85,19.2,4.6,3.6,9.9750623441,17.7,31.2,7.3,29.5,31.194851335,6.3,29.824561404,436.6,34.930448223,16.325848257,48.62657, , ,68.88,86.535303777,65.576748411,84.649261084,49.694620625,8.0808080808,28.8,4.9830812459,36.293191057,15.344384172,179.55830807,70.014694442,13.06,3.6478784041,14.941928749,88.57398568,41.9,1,0
01079,Alabama,Lawrence,11348.44,23.5,4.6,5.5,9.6998535871,27.8,38.6,7.8,36.1,42.984163654, ,28.971962617,452.2,52.32201936,18.194620476,23.64206, , ,88.99,85.579514825,56.777493606,86,65.444124532,6.2788227935,21.2,4.6842712317,29.736280783,13.594184053,194.21076259,111.23796142,12.54,15.658901285,10.088691796,81.576891808,25.1,1,0
01081,Alabama,Lee,6771.29,17.5,3.7,5.2,7.7860587462,18.3,30,6.2,24.1,56.743011766,17.8,30.337078652,484.9,23.937276888,15.347084644,44.8196, , ,47.7,83.283403235,64.367816092,84.105327618,55.241058869,6.2268773123,18.9,5.9683047968,27.758490566,8.692286275,218.24356264,46.302740384,12.89,0,19.211599456,86.718885485,39.3,1,0
01083,Alabama,Limestone,8037.89,20.7,3.6,3.1,9.1155879411,21.9,33.4,7.9,31,12.001062041,8.6,39.393939394,278.4,41.409392171,16.024922799,31.94378, , ,73.72,87.703016241,64.833759591,86.235109718,45.465538089,14.098201264,42.8,4.7425072664,57.385952209,9.3549638351,123.57255815,65.149555493,13.02,0,11.810512654,78.330569375,58.5,1,0
